Author_ID,Author_Name
7362055830273183855,S.; Hausner
7981167417287224917,L.; Molina-Porcel
8071048644229340427,L.; Düzel
-3874735760567370358,E.; Grimmer
6021661283208535021,T.; Wiltfang
-3809954211151828806,J.; Heilmann-­Heimbach
5224085737634612657,S.; Moebus
-5071504989341561326,S.; Tegos
6071285888613304772,T.; Scarmeas
-8265872010458790960,N.; Dols-Icardo
627786143260503555,O.; Moreno
6081155924315532708,F.; Pérez-Tur
6568241308812659990,J.; Bullido
780359825440685711,M.J.; Pástor
1211594545726165815,P.; Sánchez-Valle Díaz
-6229396594965090002,R.; Álvarez
-3517523811089767293,V.; Boada
-3224759038476160924,M.; Garcia-González
-6593674480323411124,P.; Puerta
-1493306085530240391,R.; Mir
1673663689521499682,P.; Real
6461758961469772835,L.M.; Piñol-Ripoll
-1240548507351249612,G.; García-Alberca
-5461171670533031249,J.M.; Rodriguez-Rodriguez
-7884287283455985547,E.; Soininen
7893173166733771527,H.; Heikkinen
3969164214696398112,S.; de Mendonça
2178550442660004597,A.; Mehrabian
6920303179097582566,S.; Traykov
-7284616167227981304,L.; Hort
-648444804711857226,J.; Vyhnálek
-1170507513295043460,M.; Sandau
5673267487833394706,N.; Thomassen
9012310136512376070,J.Q.; Pijnenburg
-3890391685905824934,Y.A.L.; Holstege
7439876907075815350,H.; van Swieten
3400404943457713651,J.; Ramakers
-7978878890610998139,I.; Verhey
764173689587836303,F.; Scheltens
-6626630516361243797,P.; Graff
-5418260554021708672,C.; Papenberg
-2555191834336878072,G.; Giedraitis
-7466626543154751688,V.; Williams
-8447845862766764634,J.; Amouyel
3512887492115923169,P.; Boland
106396997488478470,A.; Deleuze
-422772959883641324,J.-F.; Nicolas
-2519175012161605700,G.; Dufouil
-3396275793365348504,C.; Pasquier
5373907561482125421,F.; Hanon
-4675363711497613160,O.; Debette
-5573444240575528943,S.; Grünblatt
-1405282798777961140,E.; Popp
380476338622197797,J.; Ghidoni
7225795344631131397,R.; Galimberti
8787612967728626279,D.; Arosio
3263872714339080370,B.; Mecocci
6418043380631624792,P.; Solfrizzi
-2417063165529448064,V.; Parnetti
-8395467657317235426,L.; Squassina
-3508385004181459390,A.; Tremolizzo
-375984849454152304,L.; Borroni
-7417315896417693694,B.; Wagner
-7316637426886927198,M.; Nacmias
-76163458576894625,B.; Spallazzi
4262910256429053068,M.; Seripa
-7617971364910623292,D.; Rainero
8852148744655481489,I.; Daniele
2663687060177827668,A.; Piras
3004554775279739949,F.; Masullo
-2579475762638650268,C.; Rossi
658418978534567702,G.; Jessen
3648922186230434420,F.; Kehoe
-8350586498963685219,P.; Magda
4378251508825898731,T.; Sánchez-Juán
-6269811185722075081,P.; Sleegers
-1421346684541272643,K.; Ingelsson
-8096830042655693983,M.; Hiltunen
6530524165408879787,M.; Sims
-1499151845277936809,R.; Van Der Flier
-552476688073117492,W.; Andreassen
-8568321638060382002,O.A.; Ruíz
1270288943337030420,A.; Ramirez
5629987440143085575,A.; Ikram
-3124753559727910994,M.A.; Mather
4011931094012110872,K.; Sachdev
7564026718287911127,P.; Ghanbari
-2005002010211302270,M.; Zulaica
1797747786561994561,M.; Yannakoulia
-9216154535573162774,M.; Woods
8339925402407007561,B.; Windle
-2558217720006825477,G.; Weinhold
-4389942471319779210,L.; Wallon
2805594381929536248,D.; Wagner
2101583852635213732,M.; Vogelgsang
6638557608040427554,J.; Vita
3640505097352826080,M.G.; Vidal
7137215110184604858,J.-S.; Vandenberghe
-2312893047766434154,R.; van Rooij
-4499727067758232177,J.; van Dongen
2344339460342198139,J.; van Broeckhoven
-6766480010582147436,C.; Valero
-932371491820917020,S.; Ulstein
-6212734572864686659,I.; Ullgren
8244015763909828954,A.; Uitterlinden
6131543281916892830,A.; Tybjaerg-Hansen
2898485320696375857,A.; Thomas
4348839095841697569,T.; Thalamuthu
4905537102966309140,A.; Tesi
-3072718589940864628,N.; Tárraga
1443125341860324547,L.; Miguel
1777816179706848658,A.; Stordal
1980038274171955410,E.; Spottke
-5051274520178880570,A.; Sotolongo-Grau
1550366795640537489,O.; Sorbi
1172013677824765576,S.; Solomon
-6428381371923394493,A.; Skrobot
-5566914980862333844,O.; Shadrin
1027191998163660736,A.A.; Selbæk
1999445148156234438,G.; Schott
7474672196421311192,J.M.; Schmid
-5857345405238581444,M.; Scherer
-3621576787362450881,M.; Scarpini
1475971720230355712,E.; Scamosci
2375481718713979014,M.; Sando
-9151461508962643717,S.B.; Sánchez-García
-3983616413453414814,F.; Sánchez-Arjona
-9004078217620067780,M.B.; García-Gutierrez
-2242055105022756866,F.; Saltvedt
-455543996938325206,I.; Sakka
8638348700026905364,P.; Sáez
2856600254102110821,M.E.; Rubino
5770135297635821296,E.; Royo
-8786761218647681828,J.L.; Rosende-Roca
4424165348455743397,M.; Allende
-7218907100621704434,I.R.; Rongve
3955581386643073445,A.; Olivé
-5363415247551042448,C.; Riederer
718700837869700073,P.; Reinders
-510771802102260061,M.J.T.; Rábano
-2829945408925708677,A.; Quintela
5624223182441076028,I.; Quenez
5986964737186794534,O.; Puerta
-1994956098681375734,R.; Priller
687254232282688242,J.; Posthuma
-4510511865786835869,D.; Polak
-6126569171481290810,T.; Pisanu
1351545447109721778,C.; Pineda
2906069950050734911,J.A.; Pericard
9100539724161359260,P.; Martinez-Lucas
-1433826578483406013,M.; Caffarra
4102544741016049836,C.; Padovani
-7511813651133499200,A.; Capdevila-Bayo
7521883905700828951,M.; Orsini
7888060145958704498,M.; Orellana
-2698046436729449471,A.; Olaso
6827979018264803253,R.; Nordestgaard
-8582256313818168310,B.G.; Ngandu
6141004805162361368,T.; Nöthen
3090907793833529761,M.M.; Morgan
-558420599701854909,K.; Montrreal
-2708485496314806992,L.; Mol
8946706367286441172,M.; Menendez-Gonzalez
-7967392452096138053,M.; Mendoza
-5169656674235097216,S.; Meggy
7328398607053179494,A.; Medina
4337010454506005585,M.; Mead
-8527354961268634481,S.; Rodríguez
-5397200133812570634,C.M.; Martinez-Montes
2998990095378951246,A.M.; Marshall
5474646159019386724,R.; Marquié
6913046171584575338,M.; Marco
3630419918803020899,S.; Mangialasche
-7223248983222477576,F.; Maier
4859320879627077029,W.; MacLeod
-4768771755556997510,C.A.; Macías Sánchez
7280712303953819394,J.; Luckcuck
-733229685664734494,L.; Löwemark
-5250584327139001114,M.; Love
-2563810808980981556,S.; López de Munáin
8156836937181138385,A.L.; Lleo
-8059722123873548743,A.; Lerch
-7531797846333239587,O.; Lehtisalo
4315071118782987919,J.; Lauria
-6459660784591859742,A.; Laukka
-2669027831092722658,E.J.; Lage-Martínez
3770459749477367584,C.; Kosmidis
6183375145696898951,M.H.; Kornhuber
-1387135697981540932,J.; Koivisto
-8059722225085785183,A.; Kivipelto
6431022842997323860,M.; Kinhult Ståhlbom
5734361606022253634,A.K.; Kilander
3650610199054751933,L.; Johansson
6954598898954008005,C.; Jan Biessels
1292344393271692724,G.; Hulsman
-7735324535595428421,M.; Huerto
-6637851213088619744,R.H.; Holmes
-6210659945125937586,C.; Hoffmann
-3943494032437668863,P.; Herrmann
-1098314679578136875,M.J.; Hernández
6598778116320757441,I.; Heneka
-7196642392427926612,M.T.; Helisalmi
2537109849612368245,S.; Harwood
-4088779291766668687,J.; Leonenko
1164833644861188657,G.; Hartmann
-3789043220728376328,A.M.; Hardy
645884775699214836,J.; Hampel
-7426268443306415877,H.; Hadjigeorgiou
-6698193094805569683,G.; Haapasalo
-4216965637580938930,A.; Guetta-Baranés
-5742286381636042923,T.; Green
1713483184658711674,E.; Grande
-4928395410262580208,G.; González-Pérez
6663625836081971449,A.; Goldhardt
-8649638841333665177,O.; Giorgio
-7430605422770871439,G.; Giegling
-267510716375810941,I.; García-Ribas
4089643143192077503,G.; Garcia-Madrona
-8908352488202231848,S.; García-González
-2343525598096324564,P.; Froelich
-7463444978009731151,L.; Frank García
2323648744944465368,A.; Franco-Macías
-8578174610168531335,E.; Fox
9063502235954266448,N.C.; Fostinelli
367683279303314232,S.; Foroud
8607273744169231162,T.M.; Fortea
3029151033858165410,J.; Fliessbach
3707254378166798093,K.; Fladby
-2271985443107185435,T.; Fischer
2809889829256650741,P.; Fin
1339796216985709185,B.; Ferri
-5134154343037389454,C.B.; Fernández-Fuertes
